Date/Time,Day/Task,Productivity,Times slept,Times died,Mobs killed,Creeper explosions,Number of other players,Additional information
165820,Downtime,0,0,0,0,0,0,0
170000,Building,6,1,2,0,0,0,Tower 17
171327,Downtime,0,0,0,0,0,0,0
171632,Building,2,1,0,0,0,0,Tower 17
171838,Resources,7,1,0,0,0,0,Spruce farm
172700,Downtime,0,0,0,0,0,0,0
172900,Building,3,0,0,0,0,0,Tower 17
173142,Pause,0,0,0,0,0,0,0
220000,Building,5,1,2,0,0,1,Tower 17
221645,Downtime,0,0,0,0,0,0,0
222021,Building,5,2,2,0,0,0,Tower 17
224403,Pause,0,0,0,0,0,0,0
224516,Building,1,1,1,0,0,0,Tower 17
224745,Pause,0,0,0,0,0,0,0
224810,Downtime,0,0,0,1,0,0,0
224953,Building,4,2,1,0,0,0,Tower 17
231311,End,0,0,0,0,0,0,0
